Cell,EW,NS,Trials,Presences
5747,687500,9602500,3,0
5759,747500,9602500,10,0
5797,392500,9607500,10,0
5817,492500,9607500,10,0
5848,647500,9607500,1,0
5850,657500,9607500,10,1
5851,662500,9607500,10,3
5852,667500,9607500,4,0
5853,672500,9607500,2,0
5854,677500,9607500,3,0
5856,687500,9607500,5,0
5867,742500,9607500,6,0
5916,442500,9612500,10,0
5957,647500,9612500,10,0
5958,652500,9612500,16,2
5959,657500,9612500,19,1
5960,662500,9612500,2,0
5961,667500,9612500,21,0
5963,677500,9612500,2,0
5964,682500,9612500,6,0
6047,552500,9617500,10,0
6066,647500,9617500,6,0
6067,652500,9617500,24,1
6068,657500,9617500,6,0
6069,662500,9617500,14,0
6070,667500,9617500,8,0
6072,677500,9617500,5,0
6173,637500,9622500,8,0
6174,642500,9622500,13,1
6175,647500,9622500,22,0
6176,652500,9622500,5,0
6177,657500,9622500,8,0
6178,662500,9622500,3,0
6179,667500,9622500,9,0
6180,672500,9622500,9,0
6181,677500,9622500,8,0
6196,752500,9622500,10,0
6259,522500,9627500,10,0
6280,627500,9627500,2,0
6281,632500,9627500,4,0
6282,637500,9627500,3,0
6284,647500,9627500,10,0
6285,652500,9627500,6,0
6288,667500,9627500,4,0
6289,672500,9627500,13,0
6290,677500,9627500,8,0
6291,682500,9627500,9,0
6292,687500,9627500,12,0
6358,472500,9632500,10,0
6381,587500,9632500,10,0
6389,627500,9632500,2,0
6393,647500,9632500,6,0
6394,652500,9632500,8,0
6397,667500,9632500,10,2
6398,672500,9632500,12,0
6401,687500,9632500,11,0
6495,612500,9637500,10,0
6502,647500,9637500,3,0
6503,652500,9637500,2,0
6504,657500,9637500,5,0
6505,662500,9637500,5,2
6506,667500,9637500,6,4
6507,672500,9637500,11,0
6509,682500,9637500,1,0
6510,687500,9637500,5,0
6542,302500,9642500,10,0
6586,522500,9642500,10,0
6611,647500,9642500,5,0
6615,667500,9642500,10,1
6616,672500,9642500,4,0
6618,682500,9642500,4,0
6632,752500,9642500,10,0
6704,567500,9647500,10,0
6717,632500,9647500,10,0
6720,647500,9647500,3,0
6721,652500,9647500,3,0
6722,657500,9647500,11,0
6723,662500,9647500,31,17
6724,667500,9647500,6,1
6726,677500,9647500,1,0
6727,682500,9647500,5,0
6793,467500,9652500,10,0
6830,652500,9652500,5,0
6831,657500,9652500,30,0
6832,662500,9652500,29,2
6833,667500,9652500,12,1
6834,672500,9652500,22,0
6835,677500,9652500,7,0
6846,732500,9652500,6,0
6913,522500,9657500,10,0
6940,657500,9657500,13,0
6941,662500,9657500,48,0
6942,667500,9657500,16,1
6944,677500,9657500,4,0
6945,682500,9657500,3,0
6948,697500,9657500,7,0
6949,702500,9657500,5,0
6998,402500,9662500,10,0
7040,612500,9662500,10,0
7049,657500,9662500,4,0
7050,662500,9662500,20,0
7051,667500,9662500,22,0
7053,677500,9662500,9,0
7054,682500,9662500,8,0
7055,687500,9662500,5,0
7056,692500,9662500,5,0
7057,697500,9662500,2,0
7058,702500,9662500,10,0
7090,317500,9667500,10,0
7124,487500,9667500,10,0
7157,652500,9667500,6,0
7160,667500,9667500,10,0
7162,677500,9667500,5,0
7163,682500,9667500,6,0
7165,692500,9667500,1,0
7166,697500,9667500,4,0
7167,702500,9667500,3,0
7215,397500,9672500,10,0
7223,437500,9672500,10,0
7230,472500,9672500,10,0
7269,667500,9672500,10,0
7270,672500,9672500,6,0
7275,697500,9672500,5,0
7276,702500,9672500,2,0
7280,722500,9672500,6,0
7320,377500,9677500,10,0
7378,667500,9677500,6,0
7392,737500,9677500,10,0
7490,682500,9682500,10,0
7540,387500,9687500,10,0
7598,677500,9687500,10,0
7637,327500,9692500,10,0
7645,367500,9692500,10,0
7761,402500,9697500,10,0
7823,712500,9697500,6,0
7886,482500,9702500,10,0
7930,702500,9702500,6,0
7986,437500,9707500,10,0
7993,472500,9707500,10,0
8034,677500,9707500,6,0
8102,472500,9712500,10,0
8125,587500,9712500,10,0
8130,612500,9712500,5,0
8131,617500,9712500,20,0
8132,622500,9712500,6,0
8135,637500,9712500,5,0
8136,642500,9712500,6,0
8189,362500,9717500,10,0
8200,417500,9717500,10,0
8239,612500,9717500,7,0
8240,617500,9717500,28,0
8241,622500,9717500,14,0
8242,627500,9717500,11,0
8243,632500,9717500,10,0
8244,637500,9717500,6,0
8269,762500,9717500,10,0
8289,317500,9722500,10,0
8339,567500,9722500,10,0
8344,592500,9722500,10,0
8348,612500,9722500,7,0
8349,617500,9722500,9,1
8350,622500,9722500,9,0
8351,627500,9722500,2,0
8352,632500,9722500,4,0
8353,637500,9722500,3,0
8354,642500,9722500,2,0
8355,647500,9722500,5,0
8356,652500,9722500,1,0
8436,507500,9727500,10,0
8451,582500,9727500,10,0
8457,612500,9727500,17,0
8458,617500,9727500,19,0
8459,622500,9727500,17,1
8460,627500,9727500,12,0
8461,632500,9727500,4,0
8463,642500,9727500,3,0
8465,652500,9727500,6,0
8565,607500,9732500,6,0
8566,612500,9732500,9,0
8567,617500,9732500,10,0
8568,622500,9732500,15,4
8569,627500,9732500,14,2
8570,632500,9732500,8,0
8571,637500,9732500,5,0
8572,642500,9732500,5,0
8574,652500,9732500,5,0
8580,682500,9732500,1,0
8581,687500,9732500,100,3
8582,692500,9732500,100,6
8658,527500,9737500,10,0
8674,607500,9737500,10,0
8675,612500,9737500,7,0
8676,617500,9737500,9,0
8677,622500,9737500,1,0
8678,627500,9737500,1,0
8679,632500,9737500,4,0
8680,637500,9737500,1,0
8683,652500,9737500,2,0
8684,657500,9737500,2,0
8690,687500,9737500,75,7
8691,692500,9737500,100,16
8783,607500,9742500,4,0
8784,612500,9742500,9,0
8786,622500,9742500,5,0
8787,627500,9742500,5,0
8792,652500,9742500,5,0
8797,677500,9742500,10,0
8798,682500,9742500,100,5
8799,687500,9742500,47,6
8800,692500,9742500,100,1
8801,697500,9742500,22,0
8846,377500,9747500,10,0
8893,612500,9747500,16,0
8894,617500,9747500,9,0
8895,622500,9747500,6,0
8896,627500,9747500,7,0
8897,632500,9747500,11,0
8898,637500,9747500,2,0
8901,652500,9747500,6,0
8907,682500,9747500,84,7
8908,687500,9747500,100,8
8909,692500,9747500,100,6
8910,697500,9747500,27,1
8911,702500,9747500,6,0
8918,737500,9747500,10,0
8975,477500,9752500,10,0
9002,612500,9752500,4,0
9003,617500,9752500,17,0
9004,622500,9752500,6,0
9005,627500,9752500,4,0
9006,632500,9752500,6,0
9007,637500,9752500,13,0
9008,642500,9752500,5,0
9009,647500,9752500,4,0
9016,682500,9752500,63,0
9017,687500,9752500,37,1
9018,692500,9752500,54,6
9019,697500,9752500,100,4
9111,612500,9757500,9,0
9112,617500,9757500,25,0
9113,622500,9757500,3,0
9114,627500,9757500,3,0
9115,632500,9757500,5,0
9116,637500,9757500,3,0
9125,682500,9757500,8,0
9126,687500,9757500,10,0
9127,692500,9757500,6,0
9128,697500,9757500,100,0
9129,702500,9757500,15,0
9132,717500,9757500,6,0
9159,307500,9762500,10,0
9171,367500,9762500,10,0
