Cell,EW,NS,Trials,Presences
14812,777500,10017500,4,0
14813,782500,10017500,2,0
14815,792500,10017500,71,0
14816,797500,10017500,15,0
14869,517500,10022500,2,0
14870,522500,10022500,3,0
14871,527500,10022500,1,0
14873,537500,10022500,6,0
14874,542500,10022500,9,0
14911,727500,10022500,10,0
14924,792500,10022500,30,0
14925,797500,10022500,100,0
14979,522500,10027500,4,0
14980,527500,10027500,9,0
14983,542500,10027500,9,0
15033,792500,10027500,12,0
15034,797500,10027500,35,0
15134,752500,10032500,10,0
15142,792500,10032500,34,0
15143,797500,10032500,100,0
15145,807500,10032500,5,0
15146,812500,10032500,2,0
15190,487500,10037500,10,0
15232,697500,10037500,1,0
15250,787500,10037500,5,0
15254,807500,10037500,36,0
15255,812500,10037500,35,0
15256,817500,10037500,3,0
15309,537500,10042500,10,0
15339,687500,10042500,3,0
15340,692500,10042500,5,0
15358,782500,10042500,13,0
15359,787500,10042500,21,0
15365,817500,10042500,10,0
15447,682500,10047500,5,0
15448,687500,10047500,3,0
15467,782500,10047500,64,0
15468,787500,10047500,2,0
15565,727500,10052500,10,0
15576,782500,10052500,65,0
15692,817500,10057500,10,0
15693,822500,10057500,1,0
15760,612500,10062500,10,0
15802,822500,10062500,5,0
15803,827500,10062500,1,0
15850,517500,10067500,10,0
15857,552500,10067500,10,0
15897,752500,10067500,10,0
15912,827500,10067500,1,0
15965,547500,10072500,10,0
15968,562500,10072500,10,0
15973,587500,10072500,10,0
16048,417500,10077500,10,0
16073,542500,10077500,10,0
16379,437500,10092500,10,0
16693,372500,10107500,10,0
16717,492500,10107500,10,0
16731,562500,10107500,10,0
16942,527500,10117500,10,0
16999,812500,10117500,10,0
17037,457500,10122500,10,0
17080,672500,10122500,10,0
17103,787500,10122500,10,0
17108,812500,10122500,1,0
17109,817500,10122500,3,0
17216,807500,10127500,11,0
17217,812500,10127500,24,0
17218,817500,10127500,9,0
17325,807500,10132500,85,0
17326,812500,10132500,46,0
17327,817500,10132500,18,0
17434,807500,10137500,100,0
17435,812500,10137500,100,0
17436,817500,10137500,100,0
17437,822500,10137500,30,0
17438,827500,10137500,4,0
17542,802500,10142500,12,0
17543,807500,10142500,22,0
17544,812500,10142500,82,0
17545,817500,10142500,19,0
17546,822500,10142500,2,0
17654,817500,10147500,1,0
